coo: 37.1307079_-6.4847347;E 00:00:00;A 00:00:00;E 00:20:00;A 00:20:00;E 00:40:00;A 00:40:00;E 01:00:00;A 01:00:00;E 01:20:00;A 01:20:00;E 01:40:00;A 01:40:00;E 02:00:00;A 02:00:00;E 02:20:00;A 02:20:00;E 02:40:00;A 02:40:00;E 03:00:00;A 03:00:00;E 03:20:00;A 03:20:00;E 03:40:00;A 03:40:00;E 04:00:00;A 04:00:00;E 04:20:00;A 04:20:00;E 04:40:00;A 04:40:00;E 05:00:00;A 05:00:00;E 05:20:00;A 05:20:00;E 05:40:00;A 05:40:00;E 06:00:00;A 06:00:00;E 06:20:00;A 06:20:00;E 06:40:00;A 06:40:00;E 07:00:00;A 07:00:00;E 07:20:00;A 07:20:00;E 07:40:00;A 07:40:00;E 08:00:00;A 08:00:00;E 08:20:00;A 08:20:00;E 08:40:00;A 08:40:00;E 09:00:00;A 09:00:00;E 09:20:00;A 09:20:00;E 09:40:00;A 09:40:00;E 10:00:00;A 10:00:00;E 10:20:00;A 10:20:00;E 10:40:00;A 10:40:00;E 11:00:00;A 11:00:00;E 11:20:00;A 11:20:00;E 11:40:00;A 11:40:00;E 12:00:00;A 12:00:00;E 12:20:00;A 12:20:00;E 12:40:00;A 12:40:00;E 13:00:00;A 13:00:00;E 13:20:00;A 13:20:00;E 13:40:00;A 13:40:00;E 14:00:00;A 14:00:00;E 14:20:00;A 14:20:00;E 14:40:00;A 14:40:00;E 15:00:00;A 15:00:00;E 15:20:00;A 15:20:00;E 15:40:00;A 15:40:00;E 16:00:00;A 16:00:00;E 16:20:00;A 16:20:00;E 16:40:00;A 16:40:00;E 17:00:00;A 17:00:00;E 17:20:00;A 17:20:00;E 17:40:00;A 17:40:00;E 18:00:00;A 18:00:00;E 18:20:00;A 18:20:00;E 18:40:00;A 18:40:00;E 19:00:00;A 19:00:00;E 19:20:00;A 19:20:00;E 19:40:00;A 19:40:00;E 20:00:00;A 20:00:00;E 20:20:00;A 20:20:00;E 20:40:00;A 20:40:00;E 21:00:00;A 21:00:00;E 21:20:00;A 21:20:00;E 21:40:00;A 21:40:00;E 22:00:00;A 22:00:00;E 22:20:00;A 22:20:00;E 22:40:00;A 22:40:00;E 23:00:00;A 23:00:00;E 23:20:00;A 23:20:00;E 23:40:00;A 23:40:00;
2024-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.77;117.19;2.73;120.24;6.11;123.42;9.38;126.75;12.50;130.24;15.46;133.93;18.23;137.81;20.80;141.91;23.15;146.23;25.23;150.77;27.03;155.53;28.53;160.50;29.69;165.64;30.50;170.92;30.95;176.29;31.02;181.71;30.72;187.10;30.04;192.42;29.01;197.62;27.64;202.66;25.95;207.50;23.97;212.13;21.73;216.54;19.24;220.72;16.54;224.69;13.64;228.45;10.58;232.01;7.37;235.41;4.03;238.64;0.57;241.74;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.74;117.01;2.76;120.06;6.16;123.24;9.43;126.57;12.56;130.07;15.52;133.75;18.31;137.64;20.89;141.74;23.24;146.06;25.34;150.61;27.15;155.38;28.65;160.35;29.83;165.50;30.65;170.79;31.10;176.18;31.18;181.61;30.88;187.02;30.21;192.35;29.19;197.57;27.82;202.62;26.13;207.48;24.15;212.12;21.91;216.54;19.42;220.74;16.72;224.71;13.82;228.48;10.76;232.06;7.55;235.46;4.21;238.70;0.75;241.80;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.70;116.83;2.81;119.88;6.21;123.06;9.48;126.39;12.62;129.89;15.60;133.57;18.39;137.46;20.98;141.56;23.34;145.89;25.45;150.44;27.27;155.22;28.78;160.20;29.97;165.36;30.80;170.66;31.26;176.06;31.35;181.51;31.06;186.93;30.39;192.29;29.37;197.52;28.01;202.59;26.32;207.46;24.34;212.12;22.10;216.55;19.61;220.76;16.90;224.74;14.01;228.52;10.94;232.10;7.73;235.51;4.38;238.76;0.92;241.87;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.66;116.64;2.86;119.69;6.26;122.88;9.55;126.21;12.69;129.71;15.68;133.39;18.48;137.28;21.08;141.38;23.45;145.71;25.57;150.27;27.40;155.06;28.92;160.05;30.12;165.22;30.96;170.54;31.43;175.95;31.52;181.41;31.24;186.85;30.58;192.23;29.56;197.48;28.20;202.56;26.51;207.45;24.54;212.12;22.29;216.57;19.80;220.78;17.09;224.78;14.20;228.57;11.13;232.16;7.91;235.57;4.56;238.83;1.10;241.95;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.61;116.45;2.91;119.51;6.33;122.69;9.62;126.02;12.77;129.52;15.76;133.21;18.58;137.10;21.19;141.21;23.57;145.54;25.69;150.10;27.54;154.89;29.07;159.89;30.27;165.08;31.12;170.41;31.60;175.84;31.70;181.31;31.42;186.78;30.77;192.17;29.75;197.44;28.39;202.54;26.71;207.44;24.73;212.13;22.49;216.59;20.00;220.82;17.29;224.82;14.39;228.62;11.32;232.22;8.10;235.64;4.75;238.91;1.28;242.03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.55;116.26;2.97;119.31;6.40;122.50;9.70;125.83;12.86;129.33;15.86;133.02;18.68;136.91;21.30;141.02;23.69;145.36;25.82;149.93;27.68;154.73;29.22;159.74;30.44;164.94;31.29;170.28;31.78;175.73;31.89;181.22;31.62;186.70;30.97;192.11;29.96;197.40;28.60;202.52;26.92;207.44;24.94;212.14;22.69;216.62;20.20;220.86;17.49;224.87;14.58;228.68;11.51;232.29;8.29;235.72;4.94;238.99;1.47;242.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.49;116.06;3.04;119.12;6.47;122.30;9.78;125.64;12.95;129.14;15.96;132.83;18.79;136.73;21.42;140.84;23.82;145.19;25.96;149.76;27.83;154.57;29.38;159.59;30.61;164.80;31.47;170.16;31.97;175.62;32.08;181.13;31.82;186.63;31.17;192.06;30.16;197.37;28.81;202.51;27.12;207.45;25.15;212.16;22.90;216.65;20.40;220.90;17.69;224.93;14.78;228.75;11.71;232.36;8.48;235.80;5.13;239.08;1.65;242.21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.42;115.86;3.12;118.92;6.55;122.11;9.87;125.44;13.04;128.95;16.06;132.64;18.91;136.54;21.54;140.66;23.95;145.01;26.11;149.59;27.98;154.41;29.55;159.44;30.78;164.66;31.66;170.04;32.16;175.52;32.28;181.05;32.02;186.57;31.38;192.02;30.37;197.34;29.02;202.50;27.34;207.45;25.36;212.19;23.11;216.69;20.61;220.95;17.89;224.99;14.99;228.82;11.91;232.44;8.68;235.89;5.32;239.17;1.84;242.31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.35;115.65;3.20;118.72;6.64;121.91;9.96;125.24;13.15;128.75;16.18;132.45;19.03;136.35;21.68;140.47;24.10;144.83;26.26;149.42;28.15;154.24;29.72;159.28;30.97;164.52;31.85;169.91;32.36;175.41;32.49;180.96;32.23;186.50;31.60;191.97;30.59;197.32;29.24;202.50;27.56;207.47;25.57;212.22;23.32;216.73;20.82;221.01;18.10;225.06;15.19;228.90;12.11;232.53;8.88;235.98;5.51;239.27;2.03;242.42;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.27;115.45;3.29;118.51;6.74;121.70;10.07;125.04;13.26;128.55;16.30;132.25;19.16;136.16;21.82;140.28;24.25;144.64;26.42;149.24;28.32;154.08;29.90;159.13;31.16;164.38;32.05;169.79;32.57;175.31;32.70;180.88;32.45;186.44;31.82;191.94;30.82;197.30;29.46;202.50;27.78;207.49;25.80;212.26;23.54;216.78;21.04;221.08;18.32;225.14;15.40;228.98;12.31;232.62;9.08;236.08;5.71;239.38;2.23;242.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
