coo: 37.1307079_-6.4847347;E 00:00:00;A 00:00:00;E 00:20:00;A 00:20:00;E 00:40:00;A 00:40:00;E 01:00:00;A 01:00:00;E 01:20:00;A 01:20:00;E 01:40:00;A 01:40:00;E 02:00:00;A 02:00:00;E 02:20:00;A 02:20:00;E 02:40:00;A 02:40:00;E 03:00:00;A 03:00:00;E 03:20:00;A 03:20:00;E 03:40:00;A 03:40:00;E 04:00:00;A 04:00:00;E 04:20:00;A 04:20:00;E 04:40:00;A 04:40:00;E 05:00:00;A 05:00:00;E 05:20:00;A 05:20:00;E 05:40:00;A 05:40:00;E 06:00:00;A 06:00:00;E 06:20:00;A 06:20:00;E 06:40:00;A 06:40:00;E 07:00:00;A 07:00:00;E 07:20:00;A 07:20:00;E 07:40:00;A 07:40:00;E 08:00:00;A 08:00:00;E 08:20:00;A 08:20:00;E 08:40:00;A 08:40:00;E 09:00:00;A 09:00:00;E 09:20:00;A 09:20:00;E 09:40:00;A 09:40:00;E 10:00:00;A 10:00:00;E 10:20:00;A 10:20:00;E 10:40:00;A 10:40:00;E 11:00:00;A 11:00:00;E 11:20:00;A 11:20:00;E 11:40:00;A 11:40:00;E 12:00:00;A 12:00:00;E 12:20:00;A 12:20:00;E 12:40:00;A 12:40:00;E 13:00:00;A 13:00:00;E 13:20:00;A 13:20:00;E 13:40:00;A 13:40:00;E 14:00:00;A 14:00:00;E 14:20:00;A 14:20:00;E 14:40:00;A 14:40:00;E 15:00:00;A 15:00:00;E 15:20:00;A 15:20:00;E 15:40:00;A 15:40:00;E 16:00:00;A 16:00:00;E 16:20:00;A 16:20:00;E 16:40:00;A 16:40:00;E 17:00:00;A 17:00:00;E 17:20:00;A 17:20:00;E 17:40:00;A 17:40:00;E 18:00:00;A 18:00:00;E 18:20:00;A 18:20:00;E 18:40:00;A 18:40:00;E 19:00:00;A 19:00:00;E 19:20:00;A 19:20:00;E 19:40:00;A 19:40:00;E 20:00:00;A 20:00:00;E 20:20:00;A 20:20:00;E 20:40:00;A 20:40:00;E 21:00:00;A 21:00:00;E 21:20:00;A 21:20:00;E 21:40:00;A 21:40:00;E 22:00:00;A 22:00:00;E 22:20:00;A 22:20:00;E 22:40:00;A 22:40:00;E 23:00:00;A 23:00:00;E 23:20:00;A 23:20:00;E 23:40:00;A 23:40:00;
2024-04-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.45;79.41;3.49;82.41;7.45;85.39;11.44;88.37;15.43;91.38;19.41;94.46;23.38;97.64;27.32;100.96;31.21;104.47;35.04;108.22;38.78;112.27;42.41;116.70;45.90;121.60;49.20;127.07;52.25;133.23;54.99;140.19;57.33;148.03;59.19;156.76;60.46;166.28;61.07;176.35;60.97;186.57;60.18;196.53;58.74;205.85;56.74;214.35;54.28;221.94;51.45;228.67;48.32;234.63;44.97;239.94;41.44;244.70;37.78;249.02;34.02;252.99;30.17;256.67;26.27;260.12;22.33;263.40;18.36;266.56;14.38;269.62;10.39;272.63;6.42;275.61;2.47;278.60;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.18;79.16;3.76;82.16;7.72;85.13;11.71;88.10;15.70;91.11;19.68;94.19;23.65;97.36;27.59;100.68;31.49;104.18;35.32;107.92;39.07;111.97;42.71;116.40;46.21;121.30;49.52;126.79;52.58;132.97;55.34;139.95;57.69;147.84;59.56;156.65;60.83;166.27;61.44;176.45;61.33;186.78;60.52;196.82;59.06;206.22;57.04;214.76;54.55;222.37;51.70;229.11;48.56;235.07;45.19;240.37;41.65;245.12;37.97;249.43;34.20;253.38;30.35;257.05;26.44;260.49;22.49;263.76;18.52;266.91;14.54;269.97;10.56;272.97;6.59;275.94;2.64;278.93;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.10;78.91;4.03;81.90;7.99;84.87;11.97;87.84;15.96;90.85;19.95;93.92;23.92;97.09;27.86;100.40;31.76;103.89;35.60;107.63;39.36;111.67;43.01;116.10;46.52;121.01;49.84;126.50;52.91;132.69;55.68;139.72;58.05;147.66;59.92;156.54;61.20;166.25;61.80;176.54;61.69;186.98;60.86;197.13;59.37;206.59;57.33;215.17;54.82;222.81;51.95;229.55;48.79;235.50;45.40;240.79;41.85;245.53;38.16;249.83;34.38;253.77;30.52;257.42;26.61;260.86;22.66;264.12;18.69;267.26;14.71;270.31;10.72;273.30;6.75;276.28;2.81;279.26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;78.66;4.30;81.65;8.26;84.61;12.24;87.58;16.23;90.58;20.21;93.64;24.19;96.81;28.13;100.11;32.04;103.60;35.88;107.33;39.65;111.37;43.31;115.80;46.82;120.71;50.15;126.20;53.24;132.42;56.02;139.47;58.40;147.46;60.28;156.42;61.57;166.24;62.17;176.64;62.04;187.19;61.19;197.43;59.69;206.97;57.62;215.59;55.09;223.24;52.20;229.99;49.02;235.94;45.62;241.22;42.05;245.95;38.35;250.23;34.56;254.16;30.69;257.80;26.78;261.22;22.83;264.48;18.85;267.61;14.87;270.65;10.89;273.64;6.92;276.61;2.98;279.58;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.63;78.41;4.56;81.40;8.52;84.36;12.50;87.32;16.49;90.31;20.48;93.37;24.45;96.53;28.40;99.83;32.31;103.31;36.16;107.04;39.93;111.07;43.60;115.49;47.12;120.40;50.46;125.91;53.57;132.14;56.36;139.22;58.75;147.27;60.64;156.30;61.93;166.22;62.53;176.73;62.39;187.40;61.53;197.73;60.00;207.34;57.91;216.01;55.36;223.68;52.44;230.43;49.24;236.38;45.83;241.65;42.25;246.36;38.54;250.63;34.74;254.54;30.87;258.17;26.95;261.58;22.99;264.83;19.01;267.95;15.03;270.98;11.05;273.97;7.09;276.93;3.14;279.90;-0.76;282.91;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.90;78.17;4.82;81.15;8.78;84.10;12.76;87.06;16.75;90.05;20.73;93.10;24.71;96.25;28.66;99.55;32.57;103.02;36.43;106.74;40.21;110.77;43.88;115.19;47.42;120.10;50.77;125.61;53.89;131.86;56.69;138.97;59.10;147.07;61.00;156.18;62.29;166.19;62.89;176.82;62.74;187.61;61.86;198.04;60.31;207.72;58.19;216.43;55.62;224.12;52.68;230.88;49.46;236.81;46.03;242.07;42.44;246.77;38.72;251.03;34.91;254.93;31.04;258.54;27.11;261.94;23.15;265.18;19.18;268.29;15.19;271.32;11.21;274.30;7.25;277.26;3.31;280.22;-0.59;283.23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.16;77.92;5.08;80.90;9.04;83.85;13.01;86.80;17.00;89.79;20.99;92.83;24.97;95.98;28.92;99.26;32.84;102.73;36.70;106.44;40.48;110.47;44.17;114.88;47.71;119.79;51.08;125.31;54.20;131.57;57.02;138.72;59.44;146.86;61.35;156.05;62.65;166.17;63.24;176.92;63.08;187.82;62.18;198.35;60.61;208.10;58.47;216.85;55.88;224.56;52.92;231.32;49.68;237.25;46.24;242.50;42.63;247.18;38.91;251.42;35.09;255.31;31.21;258.91;27.28;262.30;23.31;265.53;19.34;268.63;15.35;271.65;11.38;274.62;7.41;277.58;3.48;280.54;-0.42;283.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.42;77.68;5.34;80.65;9.29;83.60;13.27;86.54;17.25;89.52;21.24;92.56;25.22;95.70;29.18;98.98;33.10;102.44;36.96;106.15;40.75;110.16;44.45;114.57;48.00;119.48;51.38;125.00;54.52;131.28;57.35;138.46;59.78;146.65;61.70;155.92;63.01;166.14;63.60;177.01;63.43;188.03;62.51;198.66;60.92;208.48;58.75;217.27;56.13;225.00;53.15;231.76;49.90;237.68;46.44;242.92;42.82;247.59;39.09;251.82;35.26;255.69;31.37;259.28;27.44;262.66;23.48;265.87;19.50;268.97;15.51;271.98;11.54;274.95;7.58;277.89;3.65;280.85;-0.24;283.85;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.68;77.43;5.59;80.40;9.54;83.34;13.51;86.29;17.50;89.26;21.49;92.29;25.47;95.43;29.43;98.70;33.35;102.15;37.22;105.85;41.02;109.86;44.72;114.26;48.29;119.17;51.67;124.70;54.83;130.99;57.67;138.19;60.12;146.44;62.05;155.78;63.36;166.11;63.95;177.10;63.77;188.24;62.83;198.98;61.22;208.87;59.03;217.70;56.38;225.44;53.39;232.20;50.12;238.12;46.64;243.34;43.01;248.00;39.27;252.21;35.43;256.06;31.54;259.64;27.60;263.01;23.64;266.21;19.66;269.30;15.67;272.30;11.70;275.26;7.74;278.21;3.81;281.16;-0.07;284.16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.93;77.19;5.84;80.16;9.79;83.09;13.76;86.03;17.75;89.00;21.73;92.02;25.72;95.15;29.68;98.41;33.60;101.86;37.48;105.55;41.28;109.55;44.99;113.95;48.57;118.85;51.96;124.38;55.13;130.69;57.99;137.92;60.45;146.22;62.39;155.64;63.71;166.07;64.29;177.19;64.10;188.45;63.15;199.29;61.51;209.25;59.30;218.12;56.63;225.88;53.62;232.64;50.33;238.55;46.84;243.76;43.20;248.40;39.44;252.59;35.60;256.44;31.70;260.00;27.76;263.36;23.79;266.55;19.81;269.63;15.83;272.63;11.86;275.58;7.90;278.52;3.98;281.47;0.10;284.46;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.18;76.95;6.09;79.91;10.03;82.84;14.00;85.77;17.99;88.73;21.98;91.76;25.96;94.87;29.92;98.13;33.85;101.57;37.73;105.25;41.54;109.25;45.26;113.64;48.84;118.54;52.25;124.07;55.43;130.39;58.30;137.65;60.78;146.00;62.73;155.49;64.05;166.03;64.64;177.27;64.44;188.67;63.46;199.61;61.80;209.64;59.57;218.55;56.88;226.32;53.84;233.08;50.54;238.98;47.04;244.17;43.38;248.80;39.62;252.98;35.77;256.81;31.87;260.36;27.92;263.70;23.95;266.89;19.97;269.95;15.99;272.95;12.02;275.89;8.07;278.83;4.15;281.77;0.27;284.76;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.43;76.71;6.33;79.67;10.27;82.59;14.24;85.52;18.22;88.47;22.21;91.49;26.20;94.60;30.16;97.85;34.10;101.28;37.98;104.95;41.80;108.94;45.52;113.33;49.11;118.22;52.54;123.75;55.73;130.08;58.61;137.37;61.10;145.77;63.07;155.34;64.40;165.99;64.98;177.36;64.77;188.88;63.78;199.92;62.09;210.02;59.84;218.97;57.13;226.76;54.07;233.52;50.75;239.41;47.23;244.59;43.56;249.20;39.79;253.36;35.94;257.18;32.03;260.72;28.08;264.05;24.11;267.22;20.13;270.28;16.14;273.26;12.17;276.20;8.23;279.13;4.31;282.07;0.44;285.06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.67;76.47;6.57;79.42;10.51;82.34;14.47;85.27;18.46;88.21;22.45;91.22;26.43;94.33;30.40;97.56;34.33;100.99;38.22;104.65;42.05;108.63;45.78;113.01;49.38;117.90;52.81;123.44;56.02;129.77;58.92;137.09;61.42;145.53;63.40;155.19;64.73;165.94;65.32;177.44;65.09;189.09;64.09;200.24;62.38;210.41;60.10;219.40;57.37;227.20;54.29;233.96;50.95;239.84;47.42;245.00;43.75;249.59;39.96;253.74;36.10;257.54;32.19;261.07;28.24;264.39;24.26;267.55;20.28;270.60;16.30;273.57;12.33;276.51;8.39;279.43;4.48;282.37;0.61;285.35;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.91;76.24;6.80;79.18;10.74;82.10;14.70;85.01;18.69;87.96;22.67;90.96;26.66;94.05;30.63;97.28;34.57;100.70;38.46;104.35;42.29;108.32;46.03;112.69;49.64;117.58;53.09;123.11;56.31;129.46;59.22;136.80;61.73;145.30;63.73;155.03;65.07;165.89;65.65;177.52;65.42;189.30;64.39;200.55;62.66;210.80;60.36;219.82;57.60;227.64;54.51;234.39;51.15;240.26;47.61;245.41;43.92;249.99;40.13;254.12;36.27;257.90;32.35;261.41;28.39;264.72;24.42;267.87;20.44;270.91;16.46;273.88;12.49;276.81;8.55;279.73;4.64;282.66;0.78;285.64;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.70;73.01;3.14;76.00;7.04;78.94;10.97;81.85;14.93;84.76;18.91;87.70;22.90;90.69;26.89;93.78;30.86;97.00;34.80;100.41;38.70;104.05;42.53;108.01;46.28;112.38;49.90;117.26;53.36;122.79;56.59;129.15;59.52;136.51;62.05;145.05;64.05;154.86;65.40;165.84;65.98;177.60;65.74;189.51;64.69;200.87;62.94;211.19;60.62;220.25;57.84;228.08;54.72;234.83;51.35;240.68;47.80;245.81;44.10;250.38;40.30;254.49;36.43;258.26;32.51;261.76;28.55;265.05;24.57;268.19;20.59;271.23;16.61;274.19;12.65;277.11;8.71;280.02;4.80;282.95;0.94;285.92;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.47;72.78;3.37;75.77;7.26;78.70;11.19;81.61;15.15;84.51;19.13;87.44;23.12;90.43;27.11;93.51;31.08;96.72;35.03;100.12;38.93;103.75;42.77;107.70;46.52;112.06;50.15;116.93;53.62;122.46;56.86;128.83;59.81;136.21;62.35;144.80;64.37;154.69;65.72;165.78;66.30;177.67;66.05;189.72;64.99;201.19;63.22;211.58;60.87;220.67;58.07;228.51;54.94;235.26;51.55;241.10;47.98;246.22;44.27;250.76;40.47;254.86;36.59;258.61;32.66;262.10;28.70;265.38;24.73;268.51;20.74;271.54;16.76;274.49;12.80;277.40;8.86;280.31;4.96;283.23;1.11;286.20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.24;72.55;3.60;75.54;7.49;78.47;11.41;81.37;15.37;84.26;19.35;87.19;23.34;90.17;27.32;93.24;31.30;96.44;35.25;99.83;39.15;103.45;43.00;107.39;46.76;111.74;50.40;116.60;53.88;122.13;57.14;128.51;60.10;135.91;62.65;144.55;64.68;154.51;66.05;165.71;66.63;177.74;66.36;189.92;65.28;201.51;63.49;211.96;61.12;221.10;58.30;228.95;55.15;235.69;51.74;241.51;48.16;246.61;44.45;251.14;40.63;255.23;36.75;258.96;32.82;262.44;28.86;265.71;24.88;268.83;20.89;271.84;16.92;274.78;12.96;277.69;9.02;280.59;5.13;283.51;1.28;286.48;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.01;72.33;3.82;75.31;7.71;78.23;11.63;81.12;15.59;84.02;19.56;86.93;23.55;89.90;27.54;92.97;31.51;96.16;35.46;99.54;39.38;103.15;43.23;107.08;46.99;111.42;50.64;116.28;54.13;121.80;57.40;128.18;60.38;135.61;62.95;144.29;64.99;154.33;66.37;165.64;66.95;177.81;66.67;190.13;65.58;201.82;63.76;212.35;61.36;221.52;58.52;229.38;55.35;236.11;51.94;241.93;48.34;247.01;44.62;251.52;40.80;255.59;36.91;259.31;32.97;262.77;29.01;266.03;25.03;269.14;21.04;272.14;17.07;275.08;13.11;277.98;9.18;280.87;5.29;283.79;1.45;286.75;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.22;72.10;4.04;75.08;7.92;78.00;11.84;80.89;15.80;83.77;19.77;86.68;23.76;89.64;27.75;92.70;31.72;95.89;35.68;99.25;39.59;102.86;43.45;106.77;47.22;111.10;50.88;115.95;54.38;121.47;57.66;127.85;60.65;135.30;63.24;144.02;65.30;154.14;66.68;165.57;67.26;177.88;66.98;190.33;65.86;202.14;64.03;212.74;61.61;221.94;58.75;229.81;55.56;236.54;52.13;242.34;48.52;247.40;44.78;251.90;40.96;255.95;37.06;259.65;33.12;263.10;29.16;266.34;25.18;269.44;21.19;272.44;17.22;275.37;13.26;278.26;9.34;281.15;5.45;284.06;1.61;287.02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.43;71.88;4.26;74.85;8.13;77.76;12.05;80.65;16.00;83.53;19.97;86.43;23.96;89.39;27.95;92.43;31.93;95.61;35.88;98.96;39.80;102.56;43.66;106.46;47.45;110.78;51.11;115.62;54.62;121.14;57.92;127.52;60.92;134.98;63.53;143.75;65.60;153.94;66.99;165.49;67.57;177.94;67.28;190.54;66.15;202.45;64.29;213.12;61.85;222.36;58.97;230.23;55.76;236.96;52.31;242.74;48.70;247.79;44.95;252.27;41.12;256.30;37.22;259.99;33.28;263.42;29.31;266.65;25.32;269.74;21.34;272.73;17.37;275.65;13.42;278.54;9.49;281.42;5.61;284.33;1.78;287.28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-04-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.65;71.66;4.47;74.62;8.34;77.53;12.25;80.41;16.20;83.28;20.17;86.18;24.16;89.13;28.15;92.17;32.13;95.33;36.09;98.68;40.01;102.26;43.88;106.16;47.66;110.46;51.34;115.29;54.86;120.80;58.17;127.18;61.19;134.67;63.81;143.47;65.89;153.74;67.29;165.40;67.88;178.00;67.58;190.74;66.43;202.76;64.55;213.51;62.08;222.77;59.18;230.66;55.96;237.37;52.50;243.14;48.87;248.17;45.12;252.63;41.27;256.65;37.37;260.32;33.42;263.74;29.45;266.96;25.47;270.04;21.49;273.02;17.52;275.93;13.57;278.81;9.65;281.69;5.77;284.59;1.94;287.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.86;71.44;4.67;74.40;8.54;77.30;12.45;80.18;16.40;83.04;20.37;85.93;24.35;88.87;28.34;91.90;32.32;95.06;36.28;98.39;40.21;101.96;44.08;105.85;47.88;110.14;51.56;114.96;55.09;120.46;58.42;126.85;61.45;134.34;64.09;143.19;66.19;153.54;67.59;165.31;68.18;178.05;67.87;190.93;66.70;203.08;64.80;213.89;62.32;223.19;59.40;231.08;56.15;237.78;52.68;243.54;49.04;248.55;45.28;252.99;41.43;256.99;37.52;260.65;33.57;264.06;29.60;267.27;25.62;270.33;21.64;273.30;17.67;276.21;13.72;279.08;9.80;281.95;5.93;284.85;2.10;287.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.07;71.22;4.88;74.18;8.74;77.08;12.65;79.94;16.59;82.80;20.56;85.69;24.54;88.62;28.53;91.64;32.51;94.79;36.48;98.11;40.41;101.67;44.28;105.54;48.08;109.82;51.78;114.62;55.32;120.12;58.66;126.51;61.71;134.02;64.36;142.90;66.47;153.32;67.89;165.21;68.48;178.10;68.16;191.13;66.97;203.38;65.05;214.27;62.55;223.60;59.60;231.50;56.35;238.19;52.86;243.93;49.21;248.93;45.44;253.35;41.58;257.33;37.67;260.98;33.72;264.37;29.75;267.56;25.76;270.62;21.78;273.58;17.81;276.48;13.87;279.34;9.95;282.21;6.08;285.10;2.26;288.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.27;71.01;5.07;73.96;8.93;76.85;12.84;79.71;16.78;82.57;20.75;85.44;24.73;88.37;28.72;91.38;32.70;94.52;36.67;97.83;40.60;101.37;44.48;105.23;48.29;109.50;51.99;114.29;55.54;119.78;58.89;126.16;61.96;133.69;64.62;142.61;66.75;153.10;68.18;165.11;68.77;178.14;68.44;191.32;67.24;203.69;65.30;214.64;62.77;224.01;59.81;231.91;56.54;238.60;53.04;244.32;49.37;249.30;45.60;253.70;41.74;257.67;37.82;261.30;33.87;264.67;29.89;267.86;25.91;270.90;21.93;273.85;17.96;276.74;14.02;279.60;10.11;282.46;6.24;285.35;2.43;288.28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.47;70.80;5.27;73.74;9.12;76.63;13.02;79.48;16.96;82.33;20.93;85.20;24.91;88.12;28.90;91.12;32.88;94.25;36.85;97.55;40.78;101.08;44.67;104.93;48.48;109.18;52.19;113.96;55.76;119.44;59.12;125.82;62.20;133.36;64.88;142.31;67.03;152.88;68.47;165.00;69.06;178.18;68.72;191.51;67.51;204.00;65.54;215.02;62.99;224.41;60.02;232.32;56.72;238.99;53.21;244.70;49.54;249.66;45.75;254.05;41.89;258.00;37.97;261.61;34.01;264.97;30.03;268.15;26.05;271.18;22.07;274.12;18.10;277.01;14.16;279.86;10.26;282.71;6.39;285.59;2.59;288.52;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.66;70.59;5.45;73.53;9.31;76.41;13.21;79.26;17.14;82.10;21.10;84.96;25.08;87.87;29.07;90.86;33.06;93.98;37.03;97.27;40.96;100.79;44.86;104.62;48.68;108.86;52.39;113.63;55.97;119.09;59.34;125.47;62.44;133.02;65.14;142.01;67.30;152.65;68.75;164.88;69.34;178.22;69.00;191.69;67.77;204.30;65.78;215.39;63.21;224.81;60.22;232.72;56.91;239.39;53.38;245.08;49.70;250.02;45.91;254.39;42.04;258.32;38.11;261.92;34.15;265.27;30.17;268.43;26.19;271.46;22.21;274.39;18.25;277.26;14.31;280.11;10.41;282.96;6.55;285.83;2.75;288.76;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.85;70.38;5.64;73.31;9.49;76.19;13.38;79.03;17.31;81.87;21.28;84.72;25.25;87.62;29.24;90.61;33.23;93.71;37.20;96.99;41.14;100.50;45.04;104.32;48.86;108.54;52.59;113.29;56.17;118.75;59.56;125.12;62.67;132.68;65.39;141.70;67.56;152.41;69.03;164.76;69.62;178.24;69.27;191.87;68.02;204.60;66.02;215.76;63.43;225.21;60.41;233.12;57.09;239.78;53.55;245.45;49.86;250.38;46.06;254.73;42.18;258.64;38.26;262.23;34.29;265.56;30.32;268.71;26.33;271.73;22.35;274.65;18.39;277.51;14.46;280.35;10.56;283.20;6.70;286.07;2.90;288.99;-0.83;291.99;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-05-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.03;70.17;5.82;73.10;9.66;75.97;13.55;78.81;17.48;81.64;21.44;84.48;25.42;87.38;29.41;90.35;33.39;93.45;37.37;96.71;41.31;100.21;45.21;104.01;49.04;108.22;52.78;112.96;56.37;118.41;59.77;124.77;62.90;132.34;65.63;141.39;67.82;152.16;69.30;164.63;69.90;178.27;69.54;192.05;68.28;204.89;66.25;216.12;63.64;225.60;60.61;233.52;57.27;240.16;53.72;245.82;50.02;250.73;46.21;255.06;42.33;258.96;38.40;262.53;34.43;265.85;30.45;268.98;26.47;271.99;22.49;274.90;18.53;277.76;14.60;280.59;10.71;283.43;6.85;286.30;3.06;289.21;-0.67;292.21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
